ID,Title,Date,Type,URL,Local PDF,Full Citation,Core/Strand,Contribution,Role in Argument,Local MD,Peer Review Notes,Authorial Contributions,Authorial CRediT,GitHub URL,Posted
SBW-020,InPhO - The Internet Philosophy Ontology Project,2012,Website,https://www.inphoproject.org/,,"Allen, Colin, Ruth Eberle, Jaimie Murdock, Cameron Buckner, and Scott B. Weingart. 2012. “InPhO - The Internet Philosophy Ontology Project.” https://www.inphoproject.org/.",,,,,Not peer reviewed. Shared widely on the web.,"Although I was not an originating member of the team, I worked weekly on the project and site for approximately one year, contributing data analysis, visualization, methodology development, and occasional coding.",,,1
SBW-021,Getting Started with Topic Modeling and MALLET,2012,Article,https://programminghistorian.org/en/lessons/topic-modeling-and-mallet,Graham et al. - 2012 - Getting Started with Topic Modeling and MALLET.pdf,"Shawn Graham, Scott Weingart, and Ian Milligan, “Getting Started with Topic Modeling and MALLET,” Programming Historian 1 (2012), https://doi.org/10.46430/phen0017.",1,,,Graham_et_al_2012_topic_modeling,Journal article was accepted for publication according to the journal’s standard (open) peer review process.,Each author contributed equally to the publication. ,CRediT: Conceptualization; Data Curation; Formal Analysis; Methodology; Project Administration; Software; Writing - Original Draft; Writing - Review and Editing,,
SBW-022,Information visualization state of the art and future directions,2012,Article,http://onlinelibrary.wiley.com/doi/10.1002/meet.14504901155/abstract,Milojević et al. - 2012 - Information visualization state of the art and future directions.pdf,"Milojević, Staša, Bradley M. Hemminger, Jason Priem, Chaomei Chen, Loet Leydesdorff, and Scott B. Weingart. 2012. “Information Visualization State of the Art and Future Directions.” Proceedings of the American Society for Information Science and Technology 49 (1): 1–3. https://doi.org/10.1002/meet.14504901155.",,,,Milojevic_et_al_2012_Information_visualization,Proceedings article was accepted for publication according to the publication’s standard peer review process. ,"Although this is a formally peer reviewed article in a published conference proceedings, it takes the form of a thinly-described panel. In this field (computer/information science), proceedings are often taken as equivalent to journals. I no longer have a record of the panel itself. Each of us contributed our own panel discussion to the eventual whole.",CRediT: Conceptualization; Investigation; Methodology; Writing - Original Draft; Writing - Review and Editing,,
SBW-023,The Equifinality of Archaeological Networks: an Agent-Based Exploratory Lab Approach,2014,Article,https://link.springer.com/article/10.1007/s10816-014-9230-y,Graham and Weingart - 2014 - The Equifinality of Archaeological Networks an Agent-Based Exploratory Lab Approach.pdf,"Graham, Shawn, and Scott B. Weingart. 2014. “The Equifinality of Archaeological Networks: An Agent-Based Exploratory Lab Approach.” Journal of Archaeological Method and Theory 22 (1): 248–74. https://doi.org/10.1007/s10816-014-9230-y.",1,,,Graham_Weingart_2014_Equifinality_Archaeological_Networks,Journal article was accepted for publication according to the journal’s standard peer review process. ,"This article began life as two separate unpublished pieces: one study of Roman bricklayer networks from Graham, and one philosophical exploration of agent-based simulations for studying the past that I wrote. Both were initially rejected. We decided to combine the pieces for final publication. As such, I contributed the theoretical framing of the piece, and Graham conducted the study itself.",CRediT: Conceptualization; Methodology; Software; Writing - Original Draft; Writing - Review and Editing,https://github.com/scottbot/dossier/blob/main/_posts/Graham_Weingart_2014_Equifinality_Archaeological_Networks.md,1
SBW-024,Finding the History and Philosophy of Science,2015,Article,https://link.springer.com/article/10.1007/s10670-014-9621-1,Weingart - 2015 - Finding the History and Philosophy of Science.pdf,"Weingart, Scott B. 2015. “Finding the History and Philosophy of Science.” Erkenntnis 80 (1): 201–13. https://doi.org/10.1007/s10670-014-9621-1.",1,,,Weingart_2015_Finding_the_History_and_Philosophy_of_Science,Journal article was accepted for publication according to the journal’s standard peer review process. ,This was a sole-authored piece.,,https://github.com/scottbot/dossier/blob/main/_posts/Weingart_2015_Finding_the_History_and_Philosophy_of_Science.md,1
SBW-025,The kaleidoscope of disciplinarity,2015,Article,"https://doi.org/10.1108/JD-06-2014-0082
",Sugimoto and Weingart - 2015 - The kaleidoscope of disciplinarity.pdf,"Sugimoto, Cassidy R., and Scott B. Weingart. 2015. “The Kaleidoscope of Disciplinarity.” Journal of Documentation 71 (4): 775–94. https://doi.org/10.1108/JD-06-2014-0082.",2,,,Sugimoto_and_Weingart_2015_kaleidoscope_of_disciplinarity,Journal article was accepted for publication according to the journal’s standard peer review process. ,I conducted the research for and wrote the first draft of this article as a research assistant for Sugimoto. She then revised and improved the piece considerably before final publication. I conducted one last pre-submission review.,CRediT: Conceptualization; Data Curation; Formal Analysis; Investigation; Methodology; Writing - Original Draft; Writing - Review and Editing,https://github.com/scottbot/dossier/blob/main/_posts/Sugimoto_and_Weingart_2015_kaleidoscope_of_disciplinarity.md,1
SBW-026,"The Route of a Text Message, a Love Story",2019,Article,https://www.vice.com/en/article/the-route-of-a-text-message-a-love-story/,"Weingart - 2019 - The Route of a Text Message, a Love Story.pdf","Weingart, Scott B. 2019. “The Route of a Text Message, a Love Story.” VICE: Motherboard, February 22. https://www.vice.com/en/article/the-route-of-a-text-message-a-love-story/.",,,,the-route-of-a-text-message-a-love-story,"Not peer reviewed. Thoroughly edited by a magazine editor, and seen by over a million readers. ",This was a sole-authored piece.,,https://github.com/scottbot/dossier/blob/main/_posts/the-route-of-a-text-message-a-love-story.md,1
SBW-029,The Digital Humanities Literacy Guidebook,2022,Website,https://cmu-lib.github.io/dhlg/,,"Weingart, Scott B., Susan Grunewald, and Matthew Lincoln. 2022. “The Digital Humanities Literacy Guidebook.” https://cmu-lib.github.io/dhlg/",,,,,Not peer reviewed. Shared widely on the web; taught in many courses. ,"I oversaw the creation of the site and contributed to much of the content. Grunewald contributed an equal portion of the content, and Lincoln contributed most of the web development alongside a contractor.",,,1
SBW-030,[f-s d] Cetus,2016-06-16,Blog Post,https://web.archive.org/web/20210813163624/http://scottbot.net/cetus/,Weingart - 2016 - [f-s d] Cetus.pdf,"Weingart, Scott B. 2016. “[F-s d] Cetus.” Blog. The Scottbot Irregular, June 16. https://web.archive.org/web/20210813163624/http://scottbot.net/cetus/",,,,2016-06-16-fsd-cetus,,,,https://github.com/scottbot/dossier/blob/main/_posts/2016-06-16-fsd-cetus.md,1
SBW-031,Who sits in the 41st chair?,2016-03-25,Blog Post,https://web.archive.org/web/20160610214035/http://scottbot.net/who-sits-in-the-41st-chair/,Weingart - 2016 - Who sits in the 41st chair.pdf,"Weingart, Scott B. 2016. “Who Sits in the 41st Chair?” Blog. The Scottbot Irregular, March 25. https://web.archive.org/web/20160402091929/http://scottbot.net/who-sits-in-the-41st-chair/",,,,2016-03-25-who-sits-in-the-41st-chair,,,,https://github.com/scottbot/dossier/blob/main/_posts/2016-03-25-who-sits-in-the-41st-chair.md,1
SBW-032,"Historians, Doctors, and their Absence",2013-10-20,Blog Post,https://web.archive.org/web/20251213231406/https://www.scottbot.net/HIAL/index.html@p=39494.html,"Weingart - 2013 - Historians, Doctors, and their Absence.pdf","Weingart, Scott B. 2013. “Historians, Doctors, and Their Absence.” Blog. The Scottbot Irregular, October 20. https://web.archive.org/web/20150312213455/http://www.scottbot.net/HIAL/?p=39494.",,,,2013-10-20-historians-doctors-and-their-absence,,,,https://github.com/scottbot/dossier/blob/main/_posts/2013-10-20-historians-doctors-and-their-absence.md,1
SBW-033,CMU Library Labs (2020-2024),2021,Report,https://kilthub.cmu.edu/articles/preprint/CMU_Library_Labs_2020-2024_/13522718,Weingart and Lincoln - 2021 - CMU Library Labs (2020-2024).pdf,"Weingart, Scott B., and Matthew Lincoln. 2021. CMU Library Labs (2020-2024). CMU Library Labs White Paper. Carnegie Mellon University. 455911 Bytes. https://kilthub.cmu.edu/articles/preprint/CMU_Library_Labs_2020-2024_/13522718.",,,,CMU_Library_Labs_2020-2024,,,,https://github.com/scottbot/dossier/blob/main/_posts/CMU_Library_Labs_2020-2024.md,1
SBW-034,Data integration enables global biodiversity synthesis,2021,Article,https://www.pnas.org/doi/10.1073/pnas.2018093118,Heberling et al. - 2021 - Data integration enables global biodiversity synthesis.pdf,"Heberling, J. Mason, Joseph T. Miller, Daniel Noesgaard, Scott B. Weingart, and Dmitry Schigel. “Data Integration Enables Global Biodiversity Synthesis.” Proceedings of the National Academy of Sciences 118, no. 6 (2021): e2018093118.",,,,heberling-et-al-2021-data-integration-enables-global-biodiversity-synthesis,,,,https://github.com/scottbot/dossier/blob/main/_posts/heberling-et-al-2021-data-integration-enables-global-biodiversity-synthesis.md,1
SBW-035,Analyzing submissions to Digital Humanities 2013,2012-11-08,Blog Post,https://web.archive.org/web/20150922065706/http://www.scottbot.net/HIAL/?p=24437,Weingart - 2012 - Analyzing submissions to Digital Humanities 2013.pdf,"Weingart, Scott B. 2012. “Analyzing Submissions to Digital Humanities 2013.” Blog. The Scottbot Irregular, November 8. https://web.archive.org/web/20150922065706/http://www.scottbot.net/HIAL/?p=24437.",,,,2012-11-08-analyzing-submissions-to-dh-2013,,,,https://github.com/scottbot/dossier/blob/main/_posts/2012-11-08-analyzing-submissions-to-dh-2013.md,
SBW-036,Another Step in Keeping Pledges,2012-08-15,Blog Post,https://web.archive.org/web/20150311130724/http://www.scottbot.net/HIAL/?p=20132,Weingart - 2012 - Another Step in Keeping Pledges.pdf,"Weingart, Scott B. 2012. “Another Step in Keeping Pledges.” Blog. The Scottbot Irregular, August 15. https://web.archive.org/web/20120823001008/http://www.scottbot.net/HIAL/?p=20132.",,,,2012-08-15-another-step-in-keeping-pledges,,,,https://github.com/scottbot/dossier/blob/main/_posts/2012-08-15-another-step-in-keeping-pledges.md,
SBW-037,Doing Bayesian Data Analysis,2012-01-10,Blog Post,https://web.archive.org/web/20120309064507/http://www.scottbot.net/HIAL/?p=8237,Weingart - 2012 - Doing Bayesian Data Analysis.pdf,"Weingart, Scott B. “Doing Bayesian Data Analysis.” Blog. The Scottbot Irregular, January 10, 2012.",,,,2012-01-10-doing-bayesian-data-analysis,,,,https://github.com/scottbot/dossier/blob/main/_posts/2012-01-10-doing-bayesian-data-analysis.md,
SBW-038,Computational Analysis of the Body in European Fairy Tales,2012,Article,http://llc.oxfordjournals.org/content/early/2012/05/25/llc.fqs015,Weingart and Jorgensen - 2012 - Computational Analysis of the Body in European Fairy Tales.pdf,"Weingart, Scott B., and Jeana Jorgensen. “Computational Analysis of the Body in European Fairy Tales.” Literary and Linguistic Computing 28, no. 3 (2013). https://doi.org/10.1093/llc/fqs015.",,,,Weingart_and_Jorgensen_2012,,,,https://github.com/scottbot/dossier/blob/main/_posts/Weingart_and_Jorgensen_2012.md,1
SBW-039,Currated Syllabi,2012-09-21,Blog Post,http://www.scottbot.net/HIAL/,Weingart - 2012 - Curated Syllabi.pdf,"Weingart, Scott B. 2012. “Currated Syllabi.” Blog. The Scottbot Irregular, September 21. http://www.scottbot.net/HIAL/.",,,,2012-09-21-currated-syllabi,,,,,
